year,honor,name,country,birth_year,death_year,title,category,context
1953,Man of the Year,Konrad Adenauer,Germany,1876.0,1967.0,Chancellor of West Germany,Politics,
1955,Man of the Year,Harlow Curtice,United States,1893.0,1962.0,President of General Motors (GM),Economics,
1983,Men of the Year,Ronald Reagan,United States,1911.0,2004.0,President of the United States,War,"['Strategic Defense Initiative', 'Cold War']"
2003,Person of the Year,The American Soldier,United States,,,,War,['Iraq War']
1931,Man of the Year,Pierre Laval,France,1883.0,1945.0,Prime Minister of France,Politics,
1977,Man of the Year,Anwar Sadat,Egypt,1918.0,1981.0,President of Egypt,Diplomacy,['Egypt/Israel']
1945,Man of the Year,Harry S. Truman,United States,1884.0,1972.0,President of the United States,War,"['Bombing of Hiroshima/Nagasaki', 'World War II']"
1947,Man of the Year,George Marshall,United States,1880.0,1959.0,Secretary of State,Diplomacy,['Marshall Plan']
1980,Man of the Year,Ronald Reagan,United States,1911.0,2004.0,President of the United States,Politics,['Presidential Election']
1937,Man and Wife of the Year,Chiang Kai-shek,China,1887.0,1975.0,Premier of the Republic of China,War,['World War II']
1937,Man and Wife of the Year,Soong Mei-ling,China,1898.0,2003.0,First Lady of the Republic of China,War,['World War II']
1957,Man of the Year,Nikita Khrushchev,Russia,1894.0,1971.0,General Secretary of the Communist Party of the Soviet Union,Space,['Sputnik 1']
1968,Men of the Year,The Apollo 8 Astronauts (Frank Borman),United States,1928.0,,NASA Astronaut,Space,['Apollo 8']
2009,Person of the Year,Ben Bernanke,United States,1953.0,,Chairman of the Federal Reserve,Economics,['Financial Crisis']
1990,Man of the Year,George H. W. Bush,United States,1924.0,,President of the United States,War,['Gulf War']
1978,Man of the Year,Deng Xiaoping,China,1904.0,1997.0,Paramount Leader of the People’s Republic of China,Politics,
1973,Man of the Year,John Sirica,United States,1904.0,1992.0,Chief Judge of the United States District Court (District of Columbia),Politics,['Presidential Impeachment']
1997,Man of the Year,Andrew Grove,United States,1936.0,2016.0,CEO of Intel,Technology,
1999,Person of the Year,Jeff Bezos,United States,1964.0,,Founder and CEO of Amazon,Technology,
1935,Man of the Year,Haile Selassie,Ethiopia,1892.0,1975.0,Emperor of Ethiopia,War,['Colonial War']
1969,Man and Woman of the Year,The Middle Americans,United States,,,,Politics,
1976,Man of the Year,Jimmy Carter,United States,1924.0,,President of the United States,Politics,['Presidential Election']
1999,Person of the Century,Albert Einstein,United States,,,,Science,
2000,Person of the Year,George W. Bush,United States,1946.0,,President of the United States,Politics,['Presidential Election']
2006,Person of the Year,You,,,,,Technology,['World Wide Web']
2017,Persons of the Year,The Silence Breakers,,,,,Society,"['MeToo movement', 'Weinstein Affair']"
1933,Man of the Year,Hugh S. Johnson,United States,1882.0,1942.0,Director of the National Recovery Administration,Politics,['New Deal']
1960,Men of the Year,American Scientists,United States,,,,Science,
2002,Persons of the Year,The Whistleblowers (Coleen Rowley),United States,1954.0,,FBI Special Agent,Politics,['9/11 Terrorist Attacks']
2005,Persons of the Year,The Good Samaritans (Melinda Gates),United States,1964.0,,Founder of Bill & Melinda Gates Foundation,Philanthropy,
2013,Person of the Year,Pope Francis,Vatican City,1936.0,,Pope of the Roman Catholic Church,Religion,['Papal Conclave']
1951,Man of the Year,Mohammad Mossadegh,Iran,1882.0,1967.0,Prime Minister of Iran,Economics,['Abadan Crisis']
1961,Man of the Year,John F. Kennedy,United States,1917.0,1963.0,President of the United States,Politics,['Presidential Election']
1962,Man of the Year,Pope John XXIII,Vatican City,1881.0,1963.0,Pope of the Roman Catholic Church,Religion,['Vatican Council']
2008,Person of the Year,Barack Obama,United States,1961.0,,President of the United States,Politics,['Presidential Election']
2010,Person of the Year,Mark Zuckerberg,United States,1984.0,,Founder and CEO of Facebook,Technology,
1940,Man of the Year,Winston Churchill,United Kingdom,1874.0,1965.0,Prime Minister of the United Kingdom,War,"['Battle of Britain', 'World War II']"
1950,Man of the Year,The American Soldier,United States,,,,War,['Korean War']
1970,Man of the Year,Willy Brandt,Germany,1913.0,1992.0,Chancellor of West Germany,Politics,
1984,Man of the Year,Peter Ueberroth,United States,1937.0,,President of the 1984 Summer Olympic Games Organizing Committee,Politics,['Olympic Games']
1985,Man of the Year,Deng Xiaoping,China,1904.0,1997.0,Paramount Leader of the People’s Republic of China,Politics,['Economic Reforms']
1987,Man of the Year,Mikhail Gorbachev,Russia,1931.0,,General Secretary of the Communist Party of the Soviet Union,Politics,['Political Reforms']
1993,Men of the Year,The Peacemakers (F. W. de Klerk),South Africa,1936.0,,State President of South Africa,Politics,['End of Apartheid']
2005,Persons of the Year,The Good Samaritans (Bill Gates),United States,1955.0,,Founder of Bill & Melinda Gates Foundation,Philanthropy,
1930,Man of the Year,Mahatma Gandhi,India,1869.0,1948.0,,Revolution,['Salt March']
1996,Man of the Year,David Ho,United States,1952.0,,Director of AIDS Research Center,Science,['AIDS Research']
2007,Person of the Year,Vladimir Putin,Russia,1952.0,,President of the Russian Federation,Politics,
1941,Man of the Year,Franklin D. Roosevelt,United States,1882.0,1945.0,President of the United States,War,"['Pearl Harbor Attack', 'World War II']"
1958,Man of the Year,Charles de Gaulle,France,1890.0,1970.0,President of France,Politics,['Fifth Republic']
1972,Men of the Year,Richard Nixon,United States,1913.0,1994.0,President of the United States,Politics,['Presidential Election']
1974,Man of the Year,King Faisal,Saudi Arabia,1906.0,1975.0,King of Saudi Arabia,Economics,['Oil Crisis']
1993,Men of the Year,The Peacemakers (Nelson Mandela),South Africa,1918.0,2013.0,President of South Africa,Politics,['End of Apartheid']
1943,Man of the Year,George Marshall,United States,1880.0,1959.0,Army Chief of Staff,War,['World War II']
1948,Man of the Year,Harry S. Truman,United States,1884.0,1972.0,President of the United States,Politics,['Presidential Election']
1972,Men of the Year,Henry Kissinger,United States,,,National Security Advisor,Diplomacy,['United States/China']
1992,Man of the Year,Bill Clinton,United States,1946.0,,President of the United States,Politics,['Presidential Election']
1995,Man of the Year,Newt Gingrich,United States,1943.0,,Speaker of the House,Politics,['Congressional Elections']
1936,Woman of the Year,Wallis Simpson,United States,1896.0,1986.0,Duchess of Windsor,Politics,['Edward VIII Abdication Crisis']
1952,Woman of the Year,Elizabeth II,United Kingdom,1926.0,,Queen of England,Politics,['Royal Coronation']
1993,Men of the Year,The Peacemakers (Yitzhak Rabin),Israel,1922.0,1995.0,Prime Minister of Israel,Diplomacy,['Oslo Accord']
2018,Persons of the Year,The Guardians and the War on Truth,,,,,Society,"['Fake news', 'Murder of Jamal Kashoggi', 'Attacks on news reporter']"
1938,Man of the Year,Adolf Hitler,Germany,1889.0,1945.0,Chancellor of Germany,War,['World War II']
1959,Man of the Year,Dwight D. Eisenhower,United States,1890.0,1969.0,President of the United States,Politics,
1968,Men of the Year,The Apollo 8 Astronauts (Jim Lovell),United States,1928.0,,NASA Astronaut,Space,['Apollo 8']
1982,Machine of the Year,The Computer,,,,,Technology,
1998,Men of the Year,Ken Starr,United States,1946.0,,Office of the Independent Counsel,Politics,['Presidential Impeachment']
2001,Person of the Year,Rudy Giuliani,United States,1944.0,,Mayor of New York City,War,['9/11 Terrorist Attacks']
2004,Person of the Year,George W. Bush,United States,1946.0,,President of the United States,Politics,['Presidential Election']
2016,Person of the Year,Donald Trump,United States,1946.0,,President of the United States,Politics,['Presidential Election']
1928,Man of the Year,Walter Chrysler,United States,1875.0,1940.0,Founder of Chrysler,Economics,['Chrysler/Dodge Merger']
1983,Men of the Year,Yuri Andropov,Russia,1914.0,1984.0,General Secretary of the Communist Party of the Soviet Union,War,"['Strategic Defense Initiative', 'Cold War']"
